,Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry
7205,57.0, Private,118993.0, 9th,5.0, Married-civ-spouse, Transport-moving, Other-relative, Female,0.0,0.0,40.0, ?
677,, Private,226267.0, Some-college,10.0, Married-civ-spouse,, Husband, Male,0.0,0.0,40.0, Mexico
25645,25.0, Private,152046.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, Female,0.0,0.0,40.0, Guatemala
26535,35.0, Private,119098.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband,,0.0,,40.0, United-States
1024,20.0, Private,47039.0, Some-college,10.0, Never-married, Craft-repair, Own-child, Male,0.0,0.0,40.0, United-States
9552,51.0, Local-gov,230767.0, Assoc-acdm,12.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,0.0,38.0, Cuba
4651,37.0, Private,112512.0, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,48.0, United-States
13090,51.0, Private,, Assoc-voc,11.0, Divorced, Adm-clerical, Unmarried, Female,,0.0,38.0,
23697,25.0, Private,, HS-grad,, Never-married, Adm-clerical, Unmarried, Female,0.0,0.0,46.0,
4419,44.0, Self-emp-not-inc,110028.0, Some-college,10.0, Divorced, Machine-op-inspct, Not-in-family, Male,0.0,0.0,40.0, United-States
6459,30.0, Private,330802.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Female,0.0,0.0,40.0, United-States
11582,51.0, Private,, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,7298.0,0.0,40.0,
8448,28.0, Private,142712.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,1902.0,57.0, United-States
4839,74.0, State-gov,193602.0, Some-college,10.0, Widowed, Exec-managerial, Not-in-family, Male,15831.0,0.0,40.0, United-States
4373,35.0, Private,111128.0, 10th,, Never-married,, Own-child, Male,0.0,0.0,40.0, United-States
7943,19.0, Private,281704.0, Some-college,10.0, Never-married, Other-service,, Male,0.0,0.0,35.0, United-States
15145,34.0, Private,185216.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,40.0, United-States
13238,41.0, Self-emp-not-inc,51494.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
18214,37.0, Private,119098.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,50.0, United-States
2290,85.0, Self-emp-inc,155981.0, Bachelors,13.0, Widowed, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States
13941,33.0, State-gov,156015.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,,0.0,40.0, United-States
8646,32.0, Private,256362.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
4572,32.0, Private,185820.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,40.0, United-States
3907,28.0, Private,247445.0,,9.0, Never-married,, Not-in-family, Male,0.0,0.0,40.0, United-States
29461,44.0, Private,277488.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,,0.0,40.0, United-States
24131,46.0, Self-emp-not-inc,353012.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,,50.0,
15234,23.0, Private,120773.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, Female,0.0,0.0,, United-States
23916,, Private,303867.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,,,40.0, United-States
15829,44.0, Private,92649.0, HS-grad,, Married-civ-spouse, Craft-repair, Wife, Female,0.0,0.0,40.0, United-States
7935,20.0, Private,245297.0, Some-college,, Never-married, Other-service,, Female,0.0,0.0,20.0,
1404,, ?,51795.0, HS-grad,9.0, Divorced, ?, Unmarried, Female,,0.0,32.0, United-States
10268,32.0, Local-gov,393376.0, Bachelors,13.0, Never-married, Protective-serv, Not-in-family, Female,0.0,0.0,48.0, United-States
18679,22.0,,50163.0, 9th,5.0, Never-married, Transport-moving, Own-child,,0.0,0.0,40.0, United-States
85,, Private,346253.0,,9.0, Divorced, Sales, Own-child, Female,,0.0,35.0, United-States
22863,47.0, State-gov,167281.0, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, Male,0.0,0.0,, United-States
10028,35.0, Private,255191.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,45.0, United-States
6224,25.0, Private,165866.0, Assoc-voc,11.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,0.0,20.0, United-States
10196,22.0, Private,100235.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Male,0.0,0.0,40.0, United-States
4034,21.0, Private,61777.0, Some-college,10.0,, Craft-repair, Not-in-family,,0.0,0.0,70.0, United-States
16561,32.0, Local-gov,159187.0, Bachelors,13.0,, Prof-specialty, Not-in-family, Male,0.0,0.0,35.0, United-States
17472,29.0,,130045.0, 7th-8th,4.0,, Other-service, Wife, Female,0.0,0.0,, United-States
5100,37.0, Private,34378.0, 7th-8th,,, Farming-fishing, Husband, Male,2580.0,0.0,60.0, United-States
17654,57.0, Private,159319.0, Masters,14.0, Married-civ-spouse,, Husband, Male,0.0,0.0,50.0, United-States
15608,41.0, Private,109762.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, Male,0.0,0.0,45.0, United-States
31411,, Private,223660.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,55.0, United-States
14467,25.0, Private,211531.0, 12th,8.0, Never-married, Other-service, Not-in-family, Male,0.0,0.0,40.0, United-States
6217,55.0,,138594.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial,, Male,,1977.0,45.0, United-States
1240,41.0, Private,135056.0, Masters,14.0, Widowed, Prof-specialty, Not-in-family, Female,10520.0,0.0,38.0, United-States
11513,47.0, Private,199058.0, Bachelors,13.0, Married-civ-spouse,, Husband, Male,0.0,0.0,60.0, United-States
20913,45.0, Private,259323.0,,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
17645,40.0, Private,, HS-grad,9.0, Never-married,, Not-in-family, Male,0.0,0.0,40.0, United-States
832,, Private,280093.0, Some-college,10.0, Never-married, Handlers-cleaners,, Male,0.0,0.0,40.0, United-States
10769,23.0, Private,607118.0, HS-grad,9.0, Never-married, Other-service, Own-child, Male,0.0,0.0,36.0, United-States
19497,56.0, Private,177271.0, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,0.0,40.0, United-States
26495,39.0, Private,336880.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,0.0,40.0, United-States
139,23.0, Private,306309.0, 10th,6.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,40.0, United-States
15539,39.0, Self-emp-inc,142149.0, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Wife, Female,0.0,0.0,20.0, United-States
16283,31.0,,180551.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,0.0,40.0,
20276,39.0,,170382.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,50.0, England
3815,64.0, Federal-gov,113570.0, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, Male,0.0,0.0,40.0, United-States
308,42.0, Self-emp-inc,212894.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,60.0, United-States
12748,55.0, Private,305759.0, HS-grad,, Divorced, Other-service, Not-in-family, Male,0.0,0.0,40.0, ?
32209,35.0, Private,241153.0, Assoc-voc,, Never-married, Tech-support, Not-in-family, Male,0.0,0.0,, United-States
14837,24.0, Private,345066.0, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Female,0.0,0.0,50.0, United-States
2619,40.0, Self-emp-inc,76625.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Male,0.0,0.0,40.0, United-States
21753,22.0, Private,, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Male,0.0,0.0,12.0, United-States
6164,31.0, Private,87054.0,,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,50.0, United-States
12996,37.0, ?,122265.0, HS-grad,9.0, Divorced, ?, Not-in-family,,0.0,0.0,42.0, ?
10650,30.0,,291951.0, HS-grad,9.0, Married-civ-spouse, Craft-repair,, Male,0.0,0.0,40.0, United-States
3626,44.0, Private,378251.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,,0.0,38.0, United-States
5452,25.0, Private,238605.0, HS-grad,9.0, Never-married, Sales, Own-child, Female,0.0,0.0,25.0, United-States
9800,17.0, Private,147069.0, 11th,7.0, Never-married, Other-service, Own-child, Female,0.0,0.0,16.0, United-States
29404,48.0, Private,125120.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,55.0, United-States
530,44.0, Private,109339.0, 11th,7.0, Divorced, Machine-op-inspct, Unmarried, Female,0.0,0.0,46.0, Puerto-Rico
28620,26.0, Private,193304.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
6568,58.0, Private,, HS-grad,, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,40.0, United-States
18867,53.0, Local-gov,207449.0, 10th,6.0, Married-civ-spouse, Other-service,, Male,0.0,0.0,40.0,
15333,17.0, Private,95079.0, 11th,7.0, Never-married, Sales, Own-child, Female,0.0,0.0,15.0, United-States
10168,28.0, Private,132078.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, Female,0.0,0.0,40.0,
17014,47.0, Federal-gov,402975.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband,,0.0,0.0,40.0, United-States
7686,37.0, Private,130200.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,70.0, United-States
3997,68.0, ?,150250.0, Masters,14.0, Married-civ-spouse, ?, Husband, Male,0.0,1510.0,30.0, United-States
10378,26.0, Private,102420.0, Bachelors,, Never-married,, Not-in-family, Female,0.0,0.0,40.0, South
11900,27.0, Private,150767.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, Male,0.0,0.0,48.0, United-States
844,55.0, Private,387569.0, HS-grad,9.0, Married-civ-spouse,,, Male,4386.0,0.0,40.0, United-States
10642,40.0, Private,91355.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Female,0.0,0.0,40.0, United-States
12691,76.0, Self-emp-not-inc,413699.0, 7th-8th,4.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,28.0, United-States
19384,44.0, Local-gov,124924.0, Assoc-voc,11.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,44.0, United-States
14610,32.0, Private,341954.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,1741.0,45.0, ?
3729,56.0, Private,68080.0, HS-grad,9.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,0.0,50.0, ?
5045,48.0, Self-emp-not-inc,121124.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,35.0, United-States
5193,61.0, ?,161279.0, HS-grad,9.0, Widowed,, Not-in-family, Female,0.0,0.0,36.0,
7314,21.0, Private,292264.0, HS-grad,9.0, Never-married,, Not-in-family, Male,,0.0,35.0, United-States
2483,54.0, Private,178839.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,1848.0,40.0, England
9238,36.0, Local-gov,, HS-grad,9.0, Divorced, Adm-clerical,, Female,0.0,0.0,40.0, United-States
10005,, Private,124963.0, Assoc-acdm,12.0, Married-civ-spouse, Sales,, Male,0.0,0.0,50.0, United-States
3415,61.0, Private,231323.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,,40.0, United-States
10201,31.0, Private,190772.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, Female,0.0,1590.0,35.0, ?
24073,47.0, ?,308242.0, HS-grad,9.0, Married-civ-spouse, ?, Husband,,0.0,0.0,40.0, United-States
608,36.0, Private,86143.0, Assoc-voc,11.0, Never-married, Craft-repair, Own-child, Male,0.0,0.0,40.0, United-States
3205,31.0, Private,169269.0, 7th-8th,4.0, Never-married, Craft-repair, Unmarried, Male,0.0,0.0,40.0, United-States
10833,21.0, Private,, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, Male,2176.0,0.0,40.0, United-States
9764,50.0, Self-emp-not-inc,213279.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,50.0, United-States
6416,74.0, Private,129879.0, HS-grad,9.0,, Adm-clerical, Not-in-family, Female,15831.0,0.0,40.0, United-States
24789,41.0, Private,106627.0, Assoc-acdm,12.0, Divorced,, Unmarried, Female,0.0,,50.0, United-States
30872,46.0,,117310.0, Assoc-acdm,, Widowed, Tech-support, Unmarried, Female,6497.0,0.0,, United-States
11269,45.0, Self-emp-inc,214690.0, Some-college,10.0, Separated, Adm-clerical, Not-in-family, Male,0.0,0.0,40.0, United-States
20425,42.0, Private,306496.0, HS-grad,9.0,, Other-service, Husband, Male,0.0,0.0,40.0, United-States
2576,32.0, Self-emp-inc,110331.0, HS-grad,9.0,, Sales, Husband, Male,0.0,0.0,65.0, United-States
26357,23.0, Private,245302.0, Some-college,10.0, Divorced, Sales, Own-child, Female,0.0,0.0,40.0, United-States
6833,19.0, State-gov,175507.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Female,0.0,0.0,18.0, United-States
14333,22.0, Private,, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Male,0.0,0.0,20.0, United-States
11342,, Private,209483.0, Bachelors,13.0, Never-married, Adm-clerical, Own-child, Female,0.0,0.0,50.0,
7986,31.0, Private,408208.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, Male,0.0,0.0,30.0, United-States
3226,36.0, Self-emp-not-inc,104772.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,3908.0,0.0,40.0, United-States
11456,52.0, Private,259363.0,,9.0, Married-civ-spouse, Craft-repair,, Male,0.0,0.0,50.0, United-States
12605,56.0, Private,212864.0,,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,,
15573,39.0, Private,177181.0, 7th-8th,4.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,40.0, United-States
23506,17.0, Private,198606.0, 11th,7.0, Never-married, Handlers-cleaners, Own-child, Female,0.0,0.0,16.0, United-States
9515,45.0, Self-emp-inc,107231.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,55.0, United-States
6631,, Private,182677.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,,0.0,40.0, South
3328,45.0, Private,247869.0, Bachelors,13.0,, Prof-specialty, Husband, Male,0.0,,60.0, United-States
6474,37.0, Private,246677.0,,9.0, Separated, Prof-specialty, Unmarried, Female,0.0,0.0,38.0,
10719,36.0, Private,607848.0, Some-college,10.0,, Sales, Husband, Male,,0.0,45.0, United-States
4927,68.0, ?,294420.0, Bachelors,13.0, Widowed, ?, Not-in-family, Female,0.0,0.0,2.0, United-States
21777,23.0, Private,242912.0, Some-college,10.0,, Other-service,, Female,4650.0,0.0,40.0, United-States
18960,45.0,,319122.0, Bachelors,13.0, Never-married, Sales, Not-in-family, Male,14084.0,0.0,45.0, United-States
14173,32.0, Self-emp-not-inc,127295.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Male,0.0,0.0,20.0, Iran
9367,17.0, ?,406920.0, 10th,6.0, Never-married, ?, Own-child, Male,,,40.0, United-States
12756,46.0, State-gov,27802.0, Assoc-acdm,12.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,,38.0, United-States
26454,28.0, Local-gov,220754.0, HS-grad,9.0, Separated, Transport-moving, Own-child, Female,0.0,0.0,25.0, United-States
9461,22.0, Private,,,10.0, Never-married, Adm-clerical, Own-child, Male,0.0,0.0,30.0, United-States
24322,22.0, Private,115244.0, Assoc-acdm,, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,40.0,
2877,22.0, Private,333838.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,0.0,40.0, United-States
1218,31.0,,231263.0, Bachelors,13.0, Divorced,, Not-in-family, Male,4650.0,0.0,45.0, United-States
30929,23.0, Private,, Assoc-voc,11.0, Married-civ-spouse, Machine-op-inspct, Own-child, Female,0.0,0.0,30.0, United-States
20675,35.0, Self-emp-not-inc,127930.0, HS-grad,9.0, Married-spouse-absent, Farming-fishing, Not-in-family, Male,0.0,0.0,60.0,
20762,, State-gov,55849.0, Some-college,10.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,, United-States
18342,62.0, ?,176753.0, HS-grad,9.0, Married-civ-spouse,, Husband, Male,0.0,0.0,40.0, United-States
16306,27.0, Private,169117.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,1887.0,40.0, United-States
2602,52.0, Federal-gov,277772.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,40.0, United-States
466,47.0, Federal-gov,471990.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States
1197,59.0, Private,151616.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Male,,,55.0, United-States
28487,45.0, Private,192323.0, Assoc-acdm,12.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,66.0, Yugoslavia
16700,53.0, Private,254285.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband,,0.0,0.0,40.0, United-States
26852,39.0, Private,, HS-grad,9.0, Separated, Handlers-cleaners, Not-in-family, Male,0.0,0.0,40.0, United-States
27833,29.0,,115064.0,,9.0, Never-married, Other-service, Not-in-family, Male,0.0,0.0,40.0, United-States
15328,23.0, Private,180795.0, Some-college,10.0, Never-married, Sales, Own-child, Female,0.0,0.0,40.0, United-States
15514,25.0, Private,176864.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States
21948,45.0, Private,178922.0, 9th,, Never-married, Other-service, Not-in-family, Female,0.0,0.0,15.0, United-States
8066,61.0, Self-emp-not-inc,133969.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,, South
15127,51.0, Self-emp-inc,338836.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States
8559,26.0, Federal-gov,76900.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, Male,0.0,0.0,40.0, United-States
16728,44.0, Self-emp-not-inc,90021.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,30.0, United-States
13868,38.0, Private,213512.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,50.0, United-States
5730,26.0, Private,34110.0, Some-college,10.0, Never-married, Protective-serv,, Male,0.0,,44.0, United-States
8406,65.0, Local-gov,125768.0, Some-college,, Divorced, Adm-clerical, Not-in-family, Female,0.0,0.0,28.0, United-States
13485,35.0, Local-gov,42893.0, Bachelors,13.0, Divorced, Prof-specialty, Unmarried, Female,5721.0,0.0,40.0, United-States
6305,50.0, Private,299215.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Male,0.0,0.0,40.0, United-States
12180,26.0, Private,174921.0, Bachelors,13.0, Never-married, Sales, Not-in-family, Female,0.0,0.0,40.0, United-States
6847,48.0, Private,199763.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,8.0, United-States
17461,, Private,204742.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,44.0, United-States
32217,22.0, Private,193090.0, HS-grad,9.0, Never-married, Sales, Not-in-family, Female,0.0,0.0,, United-States
7057,38.0, Private,163204.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,1740.0,40.0, United-States
11256,20.0,,223515.0, Some-college,10.0, Never-married, Other-service, Own-child, Male,,0.0,40.0,
15780,33.0, Local-gov,248346.0, Assoc-acdm,12.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,50.0, United-States
11933,51.0, Private,249449.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,55.0, United-States
92,28.0, Private,212563.0,,10.0, Divorced, Machine-op-inspct, Unmarried, Female,0.0,,25.0, United-States
23709,58.0, Federal-gov,200042.0, Some-college,10.0, Married-civ-spouse, Exec-managerial,, Male,15024.0,0.0,40.0, United-States
22993,30.0, Private,247444.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,0.0,40.0, Nicaragua
16219,29.0, Private,337953.0, Bachelors,13.0, Never-married, Handlers-cleaners, Not-in-family, Male,0.0,0.0,36.0, United-States
12728,38.0, Self-emp-inc,231491.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,50.0, United-States
2047,65.0, Private,444725.0, Prof-school,15.0, Married-spouse-absent, Craft-repair, Not-in-family, Male,0.0,0.0,48.0, Hungary
13031,52.0, Private,243616.0, 5th-6th,3.0, Separated, Craft-repair, Unmarried, Female,4101.0,0.0,40.0, United-States
2904,, Private,59083.0, Some-college,, Married-civ-spouse, Other-service, Husband, Male,,1672.0,50.0, United-States
2139,61.0, Private,32209.0, 9th,5.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,2051.0,40.0, United-States
4165,29.0, Private,114158.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, Female,0.0,0.0,40.0, United-States
26542,39.0, Private,181705.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,45.0, United-States
14153,21.0, Private,243368.0, Preschool,1.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,0.0,50.0, Mexico
32452,32.0,,236318.0,,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,32.0, United-States
1281,42.0, Federal-gov,, Assoc-acdm,12.0, Divorced, Prof-specialty, Unmarried, Female,0.0,0.0,40.0, Philippines
19823,23.0,,174413.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, Female,,0.0,40.0, United-States
4182,22.0, Private,273675.0, HS-grad,9.0, Married-spouse-absent, Other-service, Other-relative, Female,0.0,0.0,35.0, Puerto-Rico
7254,32.0, Private,199963.0,,7.0, Married-civ-spouse, Machine-op-inspct, Wife, Female,0.0,0.0,, United-States
10936,39.0, Self-emp-inc,172927.0, Assoc-acdm,12.0, Married-civ-spouse, Prof-specialty, Husband, Male,15024.0,0.0,50.0, United-States
5126,20.0, Private,116791.0, HS-grad,9.0, Never-married, Machine-op-inspct, Other-relative, Female,0.0,0.0,40.0, United-States
11912,45.0, Private,195949.0, HS-grad,, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States
8999,35.0, Private,132879.0, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Husband, Male,15024.0,0.0,40.0, Italy
13871,55.0, Self-emp-not-inc,51499.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, Male,0.0,0.0,72.0,
1900,29.0, Private,149943.0, Some-college,10.0, Never-married, Other-service, Not-in-family, Male,0.0,1590.0,, ?
16506,, Private,184756.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, Female,0.0,0.0,16.0, United-States
